sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,length,width,height,weight,price,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,tax_status,tax_category_id,global_unique_id,cases_in_stock,custom_product_subtitle,pack_quantity,low_stock_amount,pmp_or_not,max_order,por_percentage,product_size,prom_id,prom_start,promo_end,total_sales,rrp_price,outer_pack_size,shipping_class,configurable_variants
134852,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,YORKIE MILK ORIGINAL,YORKIE MILK ORIGINAL,YORKIE MILK ORIGINAL,1,1,,,,10,12.89,,,,yorkie-milk-original-134852,,,,1,default=3,,,,19,1,,3,24X46GRM,,,PLAIN,,19.44,,,,,,0.8,,No Shipping class,
110476,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,YORKIE DUO MILK BAR,YORKIE DUO MILK BAR,YORKIE DUO MILK BAR,1,1,,,,10,14.99,,,,yorkie-duo-milk-bar-110476,,,,1,default=12,,,,19,1,,12,24X72GRM,,,PLAIN,,24.29,,,,,,0.99,,No Shipping class,
134878,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,YORKIE BISCUIT&RAISIN,YORKIE BISCUIT&RAISIN,YORKIE BISCUIT&RAISIN,1,1,,,,10,12.99,,,,yorkie-biscuitraisin-134878,,,,1,default=7,,,,19,1,,7,66x44GRM,,,PLAIN,,73.76,,,,,,0.9,,No Shipping class,
45899,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,MILKYBAR MEDIUM BAR,MILKYBAR MEDIUM BAR,MILKYBAR MEDIUM BAR,1,1,,,,10,16.49,,,,milkybar-medium-bar-45899,,,,1,default=4,,,,19,1,,4,40x25GRM,,,PLAIN,,75.14,,,,,,1.99,,No Shipping class,
45900,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,MILKYBAR MEDIUM BAR £75,MILKYBAR MEDIUM BAR £75,MILKYBAR MEDIUM BAR £75,1,1,,,,10,18.99,,,,milkybar-medium-bar-ps75-45900,,,,1,default=5,,,,19,1,,5,40x25GRM,,,PMP,,24.04,,,,,,0.75,,No Shipping class,
14107,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,NESTLE MILKYBAR WHITE BLOCK PM£1.50,NESTLE MILKYBAR WHITE BLOCK PM£1.50,NESTLE MILKYBAR WHITE BLOCK PM£1.50,1,1,,,,10,18.99,,,,nestle-milkybar-white-block-pmps150-14107,,,,1,default=19,,,,19,1,,19,20x90G,,,PMP,,15.6,,,,,,1.35,,No Shipping class,
160072,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,MILKYBAR BUTTONS STANDARD,MILKYBAR BUTTONS STANDARD,MILKYBAR BUTTONS STANDARD,1,1,,,,10,18.99,,,,milkybar-buttons-standard-160072,,,,1,default=6,,,,19,1,,6,48X30GRM,,,PLAIN,,40.66,,,,,,0.8,,No Shipping class,
162254,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,***MILKYBAR GIANT BUTTONS BAG PM£1.25,***MILKYBAR GIANT BUTTONS BAG PM£1.25,***MILKYBAR GIANT BUTTONS BAG PM£1.25,1,1,,,,10,10.99,,,,milkybar-giant-buttons-bag-pmps125-162254,,,,1,default=1,,,,19,1,,1,12X85GRM,,,PMP,,12.08,,,,,,1.25,,No Shipping class,
120847,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,LION BAR,LION BAR,LION BAR,1,1,,,,10,19.39,,,,lion-bar-120847,,,,1,default=6,,,,19,1,,6,36x50GRM,,,PLAIN,,27.38,,,,,,0.89,,No Shipping class,
120901,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,LION BAR WHITE DUO,LION BAR WHITE DUO,LION BAR WHITE DUO,1,1,,,,10,18.99,,,,lion-bar-white-duo-120901,,,,1,default=5,,,,19,1,,5,30x60GRM,,,PLAIN,,23.27,,,,,,0.99,,No Shipping class,
134782,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,NESTLE TOFFEE CRISP,NESTLE TOFFEE CRISP,NESTLE TOFFEE CRISP,1,1,,,,10,13.99,,,,nestle-toffee-crisp-134782,,,,1,default=2,,,,19,1,,2,24x38GRM,,,PLAIN,,22.28,,,,,,0.9,,No Shipping class,
36083,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,NESTLE ROLO TUBE,NESTLE ROLO TUBE,NESTLE ROLO TUBE,1,1,,,,10,15.29,,,,nestle-rolo-tube-36083,,,,1,default=4,,,,19,1,,4,36X52GRM,,,PLAIN,,43.37,,,,,,0.9,,No Shipping class,
130290,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,SMARTIES HEXATUBE PM75P,SMARTIES HEXATUBE PM75P,SMARTIES HEXATUBE PM75P,1,1,,,,10,10.29,,,,smarties-hexatube-pm75p-130290,,,,1,default=4,,,,19,1,,4,24x38GRM,,,PMP,,20.85,,,,,,0.65,,No Shipping class,
24500,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,KIT KAT 4 FINGER DARK,KIT KAT 4 FINGER DARK,KIT KAT 4 FINGER DARK,1,1,,,,10,13.59,,,,kit-kat-4-finger-dark-24500,,,,1,default=6,,,,19,1,,6,24X41.5GR,,,PLAIN,,31.36,,,,,,0.99,,No Shipping class,
134566,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREE JELLY TOTS BAGS,ROWNTREE JELLY TOTS BAGS,ROWNTREE JELLY TOTS BAGS,1,1,,,,10,12.99,,,,rowntree-jelly-tots-bags-134566,,,,1,default=3,,,,19,1,,3,36x42GRM,,,PLAIN,,27.83,,,,,,0.6,,No Shipping class,
