"sku","parent_sku","locale","attribute_family_code","type","categories","images","name","description","short_description","status","visible_individually","length","width","height","weight","price","special_price","special_price_from","special_price_to","url_key","meta_title","meta_keywords","meta_description","manage_stock","inventories","related_skus","cross_sell_skus","up_sell_skus","tax_status","tax_category_id","global_unique_id","cases_in_stock","custom_product_subtitle","pack_quantity","low_stock_amount","pmp_or_not","max_order","por_percentage","product_size","prom_id","prom_start","promo_end","total_sales","rrp_price","outer_pack_size","shipping_class","configurable_variants","priority","errors"
"210375","","en","variant_family","configurable","NON-FOOD AND STATIONERY/FOOD & DRINK DISPOSABLE","210375.webp","CATERPACK ENVIRO WOODEN KNIVES 10567","CATERPACK ENVIRO WOODEN KNIVES 10567","CATERPACK ENVIRO WOODEN KNIVES 10567","1","1","","","","0","0","0","01/09/2025","07/09/2025","caterpack-enviro-wooden-knives-10567-210375","","","","18","0","","","","0","0","","1","1x100PK","","","PLAIN","0","40.2","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","2.99","","No Shipping class","sku=210375a,pack_size=Pack 1|sku=210375c,pack_size=Pack 2","299","The special price field must be less than 0."
"29553","","en","variant_family","configurable","NON-FOOD AND STATIONERY/FOOD & DRINK DISPOSABLE","29553.webp","CATERPACK RIPPLE CUPS 12OZ 25S 750","CATERPACK RIPPLE CUPS 12OZ 25S 750","CATERPACK RIPPLE CUPS 12OZ 25S 750","1","1","","","","0","0","0","01/09/2025","07/09/2025","caterpack-ripple-cups-12oz-25s-750-29553","","","","21","0","","","","0","0","","1","1x35CL","","","PLAIN","0","37.88","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","5.39","","No Shipping class","sku=29553a,pack_size=Pack 1|sku=29553c,pack_size=Pack 2","300","The special price field must be less than 0."
"135791","","en","variant_family","configurable","HOUSEHOLD, CLEANING & PAPER/CLEANING TOOLS & GLOVES","135791.webp","CK VINYL BLUE GLOVES MEDIUM 10181","CK VINYL BLUE GLOVES MEDIUM 10181","CK VINYL BLUE GLOVES MEDIUM 10181","1","1","","","","0","0","0","01/09/2025","07/09/2025","ck-vinyl-blue-gloves-medium-10181-135791","","","","62","0","","","","0","0","","6","1x100'S","","","PLAIN","0","25.11","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","3.99","","No Shipping class","sku=135791a,pack_size=Pack 1|sku=135791c,pack_size=Pack 2","301","The special price field must be less than 0."
"135792","","en","variant_family","configurable","HOUSEHOLD, CLEANING & PAPER/CLEANING TOOLS & GLOVES","135792.webp","CK VINYL BLUE GLOVES LARGE 10182","CK VINYL BLUE GLOVES LARGE 10182","CK VINYL BLUE GLOVES LARGE 10182","1","1","","","","0","0","0","01/09/2025","07/09/2025","ck-vinyl-blue-gloves-large-10182-135792","","","","45","0","","","","0","0","","4","1x100'S","","","PLAIN","0","25.11","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","3.99","","No Shipping class","sku=135792a,pack_size=Pack 1|sku=135792c,pack_size=Pack 2","302","The special price field must be less than 0."
"135876","","en","variant_family","configurable","HOUSEHOLD, CLEANING & PAPER/CLEANING TOOLS & GLOVES","135876.webp","EVERYDAY CLEAR VINYL GLOVES POWDER FREE LARGE","EVERYDAY CLEAR VINYL GLOVES POWDER FREE LARGE","EVERYDAY CLEAR VINYL GLOVES POWDER FREE LARGE","1","1","","","","0","0","0","01/09/2025","07/09/2025","everyday-clear-vinyl-gloves-powder-free-large-135876","","","","24","0","","","","0","0","","2","1x100'S","","","PLAIN","0","40.1","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","5.99","","No Shipping class","sku=135876a,pack_size=Pack 1|sku=135876c,pack_size=Pack 2","303","The special price field must be less than 0."
"21033","","en","variant_family","simple","NON-FOOD AND STATIONERY/FOOD & DRINK DISPOSABLE","21033.webp","CATERPACK ENVIRO BOWLS 12OZ","CATERPACK ENVIRO BOWLS 12OZ","CATERPACK ENVIRO BOWLS 12OZ","1","1","","","","10","2.85","0","01/09/2025","07/09/2025","caterpack-enviro-bowls-12oz-21033","","","","10","default=15","","","","19","1","","10","1x50`S","","","PLAIN","0","14.29","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","3.99","","No Shipping class","0","304",""
"23077","","en","variant_family","configurable","HOUSEHOLD, CLEANING & PAPER/CLEANING TOOLS & GLOVES","23077.webp","LIFESTYLE VALUE CLEANING CLOTHS HEAVY DUTY","LIFESTYLE VALUE CLEANING CLOTHS HEAVY DUTY","LIFESTYLE VALUE CLEANING CLOTHS HEAVY DUTY","1","1","","","","0","0","0","01/09/2025","07/09/2025","lifestyle-value-cleaning-cloths-heavy-duty-23077","","","","13","0","","","","0","0","","0","1x4PACK","","","PLAIN","0","28.07","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","6.99","","No Shipping class","sku=23077a,pack_size=Pack 1|sku=23077c,pack_size=Pack 2","305","The special price field must be less than 0."
"903705","","en","variant_family","simple","SOFT DRINK/ENERGY DRINKS","903705.webp","RED BULL ENERGY PM£2.10","RED BULL ENERGY PM£2.10","RED BULL ENERGY PM£2.10","1","1","","","","10","26.99","25.19","01/09/2025","07/09/2025","red-bull-energy-pmps210-903705","","","","97","default=444","","","","19","1","","97","24x355ML","","","PMP","10","32.17","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","2.1","","No Shipping class","0","306",""
"903707","","en","variant_family","simple","SOFT DRINK/ENERGY DRINKS","903707.webp","RED BULL JUNEBERRY BLUE EDITION PM£1.65","RED BULL JUNEBERRY BLUE EDITION PM£1.65","RED BULL JUNEBERRY BLUE EDITION PM£1.65","1","1","","","","10","10.69","0","01/09/2025","07/09/2025","red-bull-juneberry-blue-edition-pmps165-903707","","","","74","default=24","","","","19","1","","74","12x250ML","","","PMP","10","26.12","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.65","","No Shipping class","0","307",""
"903717","","en","variant_family","simple","SOFT DRINK/ENERGY DRINKS","903717.webp","RED BULL ENERGY DRINK PM£2.65","RED BULL ENERGY DRINK PM£2.65","RED BULL ENERGY DRINK PM£2.65","1","1","","","","10","18.99","18.79","01/09/2025","07/09/2025","red-bull-energy-drink-pmps265-903717","","","","380","default=68","","","","19","1","","380","12x473ML","","","PMP","10","27.58","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","2.65","","No Shipping class","0","308",""
