item,VAT,hierarchy1,hierarchy2,description,,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Retail Ean 1,Retail Ean 2,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type,Brand,Size,Clearance stock in  number,Clerance pack size,Clearance Price,Product pack 1 in layer,Product pack 1 in Pallet,Product location in warehouse,Product pack 1 weight,Product pack 1 dimansion in cm,Product pack 1 volumetric weight
903003,A,7,7006,VELO MAX FREEZE POUCH 17MG,,10x17MG,2,2,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
903004,A,7,7006,VELO CHERRY ICE POUCHES,,1x5x10MG,2,2,,,,,,,30.49,,,,,,,,,,,,,,,7.99,8.42,PLAIN,SINGLE,,,,,,,,,,,
903005,A,7,7006,VELO CRISPY PEPPERMINT POUCHES,,10x10MG,9,9,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
903006,A,7,7006,VELO MAX RUBY BERRY POUCHES,,10X17MG,4,4,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
903007,A,7,7006,VELO RUBY BERRY POUCHE,,10x14MG,3,3,,,,,,,29.99,,,,,,,,,,,,,,,6.5,44.63,PLAIN,SINGLE,,,,,,,,,,,
903009,A,7,7006,KILLA BANANA ICE POUCHES,,10X16.5MG,2,2,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903010,A,7,7006,KILLA CAPPUCINO POUCHES,,10X16.5MG,4,4,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903011,A,7,7006,KILLA FROSTED MINT BLACK POUCHE,,10x16.5MG,5,5,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903012,A,7,7006,KILLA FROSTED MINT DRY POUCH,,10X16.5MG,1,1,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903013,A,7,7006,KILLA FROSTED MINT WHITE POUCH,,10X16.5MG,3,3,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903015,A,7,7006,KILLA COLA POUCH,,10X16.5MG,4,4,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903016,A,7,7006,KILLA STRAWBERRY WATERMELON POUCH,,10x16.5MG,3,3,,,,,,,15.89,,,,,,,,,,,,,,,2.65,28.05,PLAIN,SINGLE,,,,,,,,,,,
903018,A,7,7006,PABLO MANGO ICE NICOTIN POUCH,,10x50MG,8,8,,,,,,,18.39,,,,,,,,,,,,,,,2.99,26.19,PLAIN,SINGLE,,,,,,,,,,,
903019,A,7,7006,PABLO BUBBLE GUM NICOTIN POUCH,,10x50MG,2,2,,,,,,,18.39,,,,,,,,,,,,,,,2.99,26.19,PLAIN,SINGLE,,,,,,,,,,,
903073,A,7,7004,ELF BAR AF5000 KIWI PASSION FRUIT GUAVA,,5X20MG,18,18,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
903075,A,7,7004,***LOST MARY BM600 STRAWBERRY RASPBERRY CHERRY ICE,,10x20MG,1,1,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
903076,A,7,7004,IVG 2400 GRAPE ICE,,5X20MG,6,6,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
903077,A,7,7004,VELO PEPPERMINT EXTRA STROM POUCH,,5X17MG,3,3,,,,,,,15.99,,,,,,,,,,,,,,,7.99,51.97,PLAIN,SINGLE,,,,,,,,,,,
903078,A,7,7004,IVG 2400 PINAPLE EDITION,,5X20MG,15,15,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
903079,A,7,7004,IVG 2400 LEMON EDITION,,5x20MG,10,10,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
903472,A,7,7004,IVG 2400 BLACKCURRENT EDITION,,5X20MG,3,3,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901473,A,7,7004,LOST MARY BM600 CHERRY PEACH LEMONADE,,10x20MG,15,15,,,,,,,18.99,,,,,,,,,,,,,,,5.19,56.09,PLAIN,SINGLE,,,,,,,,,,,
901469,A,7,7004,LOST MARY BM600 PINK LEMONADE,,10x20MG,1,1,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
200068,A,7,7004,ALLO PLUS CLASSIC TABACCO 10MG,,10XSINGLE,1,1,,,,,,,17.29,,,,,,,,,,,,,,,5.99,65.36,PLAIN,SINGLE,,,,,,,,,,,
200070,A,7,7004,ALLO PLUS LYCHEE 10MG,,10XSINGLE,1,1,,,,,,,16.99,,,,,,,,,,,,,,,5.99,65.96,PLAIN,SINGLE,,,,,,,,,,,
200072,A,7,7004,ALLO PLUS MANGO ICE 10MG,,10XSINGLE,2,2,,,,,,,16.99,,,,,,,,,,,,,,,5.99,65.96,PLAIN,SINGLE,,,,,,,,,,,
200078,A,7,7004,ALLO PLUS SPEARMINT 10MG,,10XSINGLE,2,2,,,,,,,16.99,,,,,,,,,,,,,,,5.99,65.96,PLAIN,SINGLE,,,,,,,,,,,
901965,A,12,12005,KURKURE GREEN CHUTNNEY,,30x70G,3,3,,,,,,,11.99,,,,,,,,,,,,,,,0.59,18.71,PLAIN,SINGLE,,,,,,,,,,,
901967,A,12,12005,KURKURE NAUGHTY TOMATO,,30x68G,3,3,,,,,,,13.99,,,,,,,,,,,,,,,0.59,5.15,PLAIN,SINGLE,,,,,,,,,,,
901971,Z,6,6001,MUKTI INST ELAICHI TEA SWT 5PK,,5x1,4,4,,,,,,,12.99,,,,,,,,,,,,,,,3.99,34.89,PLAIN,SINGLE,,,,,,,,,,,
901974,Z,8,8004,PARLE KRACKJACK,,1X60G,16,1,,,,,,,0.79,12,9.49,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,0.75,,,,,,0.99,20.2,PLAIN,VARIENT,,,,,,,,,,,
901975,Z,8,8004,PARLE MONACO BIS.,,1X63.3G,16,1,,,,,,,0.79,12,9.49,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,0.75,,,,,,0.99,20.2,PLAIN,VARIENT,,,,,,,,,,,
901990,Z,8,8004,PARLE HIDE & SEEK BIS.,,1X82.5G,2,0,,,,,,,7.49,4,30.99,,,,,,,,,,,,,10.99,31.85,PLAIN,VARIENT,,,,,,,,,,,
901994,Z,6,6001,WAGH BAKRI TEA 1KG,,1X1KG,18,1,,,,,,,6.59,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,6.49,,,,,,8.49,22.38,PLAIN,SINGLE,,,,,,,,,,,
901995,Z,18,18003,CHINGS SCHEZWAN CHUTNEY,,1X250G,9,0,,,,,,,1.49,12,17.99,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,1.39,,,,,,1.99,25.13,PLAIN,VARIENT,,,,,,,,,,,
901996,Z,18,18003,CHINGS SCHEZWAN SAUCE,,1X250ML,26,1,,,,,,,0.79,24,18.99,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,0.69,,,,,,0.99,20.2,PLAIN,VARIENT,,,,,,,,,,,
901997,Z,19,19004,ASHIRVAD ATTA,,1X10KG,6,6,,,,,,,12.99,,,,,,,,,,,,,,,18.99,31.6,PLAIN,SINGLE,,,,,,,,,,,
902000,Z,12,12005,LIJJAT PLAIN URID PAPAD,,20X200G,1,1,,,,,,,17.99,,,,,,,,,,,,,,,1.99,54.8,PLAIN,SINGLE,,,,,,,,,,,
902001,Z,18,18007,GITS DAHIVADA,,5X500G,2,2,,,,,,,8.99,,,,,,,,,,,,,,,2.49,27.79,PLAIN,SINGLE,,,,,,,,,,,
902002,Z,18,18007,GITS DAHIVADA MIX,,10X200G,3,3,,,,,,,8.99,,,,,,,,,,,,,,,1.19,24.45,PLAIN,SINGLE,,,,,,,,,,,
902003,Z,18,18007,GITS KHATTA DHOKLA,,5x500G,3,3,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PLAIN,SINGLE,,,,,,,,,,,
902004,Z,18,18007,GITS KHATTA DHOKLA MIX,,10X200G,3,3,,,,,,,8.49,,,,,,,,,,,,,,,1.99,57.34,PLAIN,SINGLE,,,,,,,,,,,
902005,Z,18,18007,GITS DOSA,,5x500G,1,1,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PLAIN,SINGLE,,,,,,,,,,,
902006,Z,18,18007,GITS HANDVO,,10X500G,3,3,,,,,,,8.49,,,,,,,,,,,,,,,1.99,57.34,PLAIN,SINGLE,,,,,,,,,,,
902007,Z,18,18007,GITS DOSA MIX,,10X200G,3,3,,,,,,,8.49,,,,,,,,,,,,,,,1.99,57.34,PLAIN,SINGLE,,,,,,,,,,,
902013,Z,18,18007,GITS IDLI,,5X500G,2,2,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PLAIN,SINGLE,,,,,,,,,,,
902014,Z,18,18007,GITS IDLI MIX,,10X200G,4,4,,,,,,,8.49,,,,,,,,,,,,,,,1.99,57.34,PLAIN,SINGLE,,,,,,,,,,,
902015,Z,18,18007,GITS KHAMAN DHOKLA,,10X180G,2,2,,,,,,,8.49,,,,,,,,,,,,,,,1.99,57.34,PLAIN,SINGLE,,,,,,,,,,,
902016,Z,18,18007,GITS KHAMAN DHOKLA,,5x500G,3,3,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PLAIN,SINGLE,,,,,,,,,,,
902017,Z,18,18007,GITS RAVA DOSA,,5X500G,1,1,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PLAIN,SINGLE,,,,,,,,,,,
902018,Z,18,18007,GITS UPMA,,5X500G,5,5,,,,,,,8.49,,,,,,,,,,,,,,,2.49,31.81,PMP,SINGLE,,,,,,,,,,,
902019,Z,18,18007,GITS UTTAPAM,,5x500G,2,2,,,,,,,8.99,,,,,,,,,,,,,,,2.49,27.79,PLAIN,SINGLE,,,,,,,,,,,
